20230430,332
20230429,295
20230428,196
20230427,471
20230426,487
20230425,404
20230424,407
20230423,183
20230422,437
20230421,396
20230420,469
20230419,341
20230418,408
20230417,242
20230416,301
20230415,164
20230414,185
20230413,241
20230412,297
20230411,380
20230410,266
20230409,323
20230408,378
20230407,357
20230406,537
20230405,298
20230404,366
20230403,532
20230402,374
20230401,525
20230331,172
20230330,227
20230329,377
20230328,302
20230327,376
20230326,330
20230325,347
20230324,363
20230323,326
20230322,288
20230321,279
20230320,243
20230319,285
20230318,206
20230317,198
20230316,327
20230315,280
20230314,248
20230313,351
20230312,347
20230311,208
20230310,289
20230309,209
20230308,356
20230307,412
20230306,405
20230305,244
20230304,347
20230303,211
20230302,343
20230301,299
20230228,286
20230227,211
20230226,269
20230225,369
20230224,352
20230223,178
20230222,304
20230221,286
20230220,326
20230219,216
20230218,186
20230217,309
20230216,256
20230215,184
20230214,230
20230213,233
20230212,169
20230211,334
20230210,204
20230209,323
20230208,317
20230207,220
20230206,181
20230205,260
20230204,347
20230203,217
20230202,235
20230201,167
20230131,61
20230130,139
20230129,119
20230128,98
20230127,88
20230126,110
20230125,106
20230124,47
20230123,74
20230122,56
20230121,90
20230120,70
20230119,64
20230118,131
20230117,120
20230116,58
20230115,68
20230114,144
20230113,72
20230112,64
20230111,89
20230110,143
20230109,124
20230108,131
20230107,87
20230106,102
20230105,129
20230104,94
20230103,82
20230102,83
20230101,68
20221231,95
20221230,395
20221229,159
20221228,282
20221227,413
20221226,247
20221225,170
20221224,139
20221223,266
20221222,79
20221221,193
20221220,404
20221219,117
20221218,217
20221217,109
20221216,274
20221215,357
20221214,112
20221213,176
20221212,404
20221211,336
20221210,172
20221209,103
20221208,360
20221207,363
20221206,281
20221205,200
20221204,148
20221203,259
20221202,165
20221201,145
20221130,207
20221129,208
20221128,258
20221127,210
20221126,288
20221125,217
20221124,238
20221123,291
20221122,293
20221121,282
20221120,283
20221119,231
20221118,247
20221117,241
20221116,210
20221115,223
20221114,273
20221113,199
20221112,271
20221111,216
20221110,225
20221109,238
20221108,241
20221107,268
20221106,264
20221105,206
20221104,273
20221103,186
20221102,265
20221101,285
20221031,184
20221030,242
20221029,185
20221028,177
20221027,252
20221026,177
20221025,214
20221024,268
20221023,266
20221022,273
20221021,205
20221020,234
20221019,170
20221018,177
20221017,232
20221016,241
20221015,233
20221014,178
20221013,224
20221012,211
20221011,271
20221010,270
20221009,190
20221008,273
20221007,192
20221006,174
20221005,176
20221004,204
20221003,171
20221002,214
20221001,171
20220930,195
20220929,258
20220928,269
20220927,299
20220926,206
20220925,245
20220924,262
20220923,210
20220922,289
20220921,291
20220920,234
20220919,297
20220918,242
20220917,221
20220916,314
20220915,269
20220914,242
20220913,255
20220912,237
20220911,184
20220910,244
20220909,272
20220908,275
20220907,319
20220906,241
20220905,207
20220904,272
20220903,309
20220902,190
20220901,275
20220831,201
20220830,287
20220829,291
20220828,203
20220827,142
20220826,199
20220825,284
20220824,171
20220823,226
20220822,220
20220821,285
20220820,243
20220819,149
20220818,201
20220817,257
20220816,229
20220815,208
20220814,277
20220813,203
20220812,182
20220811,318
20220810,322
20220809,310
20220808,309
20220807,311
20220806,273
20220805,262
20220804,202
20220803,315
20220802,208
20220801,231
20220731,241
20220730,205
20220729,283
20220728,265
20220727,280
20220726,289
20220725,225
20220724,196
20220723,269
20220722,254
20220721,269
20220720,203
20220719,279
20220718,224
20220717,260
20220716,189
20220715,226
20220714,214
20220713,222
20220712,260
20220711,215
20220710,241
20220709,250
20220708,208
20220707,245
20220706,196
20220705,191
20220704,216
20220703,225
20220702,254
20220701,242
20220630,227
20220629,344
20220628,348
20220627,343
20220626,251
20220625,373
20220624,336
20220623,361
20220622,293
20220621,249
20220620,356
20220619,351
20220618,260
20220617,290
20220616,239
20220615,250
20220614,285
20220613,319
20220612,277
20220611,237
20220610,293
20220609,345
20220608,243
20220607,336
20220606,236
20220605,259
20220604,127
20220603,321
20220602,291
20220601,315
20220531,182
20220530,249
20220529,316
20220528,232
20220527,214
20220526,339
20220525,254
20220524,205
20220523,329
20220522,237
20220521,351
20220520,234
20220519,292
20220518,242
20220517,286
20220516,255
20220515,239
20220514,227
20220513,325
20220512,300
20220511,363
20220510,288
20220509,361
20220508,190
20220507,376
20220506,301
20220505,218
20220504,187
20220503,328
20220502,279
20220501,244
20220430,229
20220429,264
20220428,667
20220427,356
20220426,658
20220425,767
20220424,364
20220423,441
20220422,356
20220421,375
20220420,552
20220419,604
20220418,742
20220417,696
20220416,451
20220415,256
20220414,663
20220413,442
20220412,504
20220411,415
20220410,292
20220409,264
20220408,575
20220407,462
20220406,298
20220405,427
20220404,635
20220403,409
20220402,507
20220401,726
20220331,346
20220330,240
20220329,191
20220328,232
20220327,248
20220326,190
20220325,238
20220324,262
20220323,320
20220322,255
20220321,214
20220320,362
20220319,263
20220318,274
20220317,216
20220316,391
20220315,191
20220314,334
20220313,356
20220312,243
20220311,334
20220310,302
20220309,208
20220308,370
20220307,391
20220306,267
20220305,226
20220304,232
20220303,319
20220302,333
20220301,363
20220228,193
20220227,222
20220226,185
20220225,197
20220224,201
20220223,220
20220222,182
20220221,180
20220220,193
20220219,228
20220218,203
20220217,206
20220216,183
20220215,213
20220214,204
20220213,179
20220212,186
20220211,183
20220210,184
20220209,181
20220208,212
20220207,184
20220206,208
20220205,207
20220204,186
20220203,77
20220202,198
20220201,223
20220131,55
20220130,256
20220129,169
20220128,78
20220127,118
20220126,85
20220125,155
20220124,257
20220123,184
20220122,137
20220121,186
20220120,200
20220119,150
20220118,197
20220117,181
20220116,207
20220115,260
20220114,79
20220113,135
20220112,71
20220111,207
20220110,84
20220109,173
20220108,227
20220107,228
20220106,224
20220105,260
20220104,234
20220103,61
20220102,136
20220101,213
20211231,246
20211230,264
20211229,241
20211228,333
20211227,255
20211226,279
20211225,277
20211224,242
20211223,333
20211222,324
20211221,298
20211220,323
20211219,298
20211218,279
20211217,281
20211216,318
20211215,312
20211214,292
20211213,276
20211212,278
20211211,265
20211210,281
20211209,245
20211208,237
20211207,284
20211206,241
20211205,319
20211204,230
20211203,254
20211202,274
20211201,287
20211130,267
20211129,210
20211128,173
20211127,210
20211126,248
20211125,263
20211124,323
20211123,260
20211122,253
20211121,310
20211120,306
20211119,278
20211118,263
20211117,278
20211116,303
20211115,283
20211114,300
20211113,227
20211112,179
20211111,273
20211110,255
20211109,241
20211108,281
20211107,262
20211106,308
20211105,310
20211104,173
20211103,246
20211102,278
20211101,285
20211031,236
20211030,239
20211029,239
20211028,231
20211027,230
20211026,242
20211025,228
20211024,235
20211023,238
20211022,240
20211021,230
20211020,231
20211019,231
20211018,235
20211017,244
20211016,244
20211015,237
20211014,236
20211013,230
20211012,243
20211011,237
20211010,228
20211009,236
20211008,232
20211007,241
20211006,234
20211005,268
20211004,235
20211003,238
20211002,234
20211001,230
20210930,311
20210929,154
20210928,255
20210927,84
20210926,308
20210925,241
20210924,132
20210923,273
20210922,277
20210921,148
20210920,109
20210919,178
20210918,90
20210917,92
20210916,81
20210915,190
20210914,91
20210913,263
20210912,269
20210911,201
20210910,103
20210909,128
20210908,134
20210907,294
20210906,178
20210905,310
20210904,288
20210903,93
20210902,250
20210901,297
20210831,205
20210830,256
20210829,248
20210828,260
20210827,277
20210826,276
20210825,243
20210824,280
20210823,234
20210822,226
20210821,260
20210820,208
20210819,217
20210818,278
20210817,230
20210816,253
20210815,223
20210814,249
20210813,287
20210812,269
20210811,288
20210810,242
20210809,261
20210808,213
20210807,280
20210806,233
20210805,282
20210804,342
20210803,205
20210802,254
20210801,281
20210731,262
20210730,320
20210729,269
20210728,313
20210727,332
20210726,285
20210725,286
20210724,278
20210723,291
20210722,303
20210721,294
20210720,265
20210719,275
20210718,312
20210717,298
20210716,286
20210715,269
20210714,335
20210713,280
20210712,295
20210711,282
20210710,333
20210709,284
20210708,275
20210707,264
20210706,267
20210705,282
20210704,301
20210703,267
20210702,262
20210701,258
20210630,271
20210629,113
20210628,85
20210627,305
20210626,323
20210625,315
20210624,319
20210623,306
20210622,231
20210621,164
20210620,261
20210619,250
20210618,165
20210617,44
20210616,325
20210615,103
20210614,110
20210613,293
20210612,239
20210611,129
20210610,231
20210609,85
20210608,236
20210607,261
20210606,247
20210605,154
20210604,299
20210603,143
20210602,171
20210601,53
20210531,94
20210530,78
20210529,289
20210528,123
20210527,317
20210526,149
20210525,107
20210524,196
20210523,267
20210522,316
20210521,311
20210520,46
20210519,278
20210518,154
20210517,277
20210516,234
20210515,208
20210514,176
20210513,261
20210512,215
20210511,109
20210510,134
20210509,84
20210508,55
20210507,319
20210506,138
20210505,88
20210504,152
20210503,118
20210502,289
20210501,232
